DMS_id,kermutBH_oh,Tranception Embeddings
BLAT_ECOLX_Stiffler_2015,0.616,0.524
P53_HUMAN_Kotler_2018,0.92,0.676
RAD_ANTMA_Rocklin_2023_2CJJ,0.358,0.783
OPSD_HUMAN_Wan_2019,1.441,0.69
A0A1I9GEU1_NEIME_Kennouche_2019,2.425,1.559
A0A247D711_LISMN_Stadelmann_2021,0.972,0.918
A0A2Z5U3Z0_9INFA_Wu_2014,0.76,0.976
A4GRB6_PSEAI_Chen_2020,1.84,0.503
AACC1_PSEAI_Dandage_2018,2.932,0.902
ACE2_HUMAN_Chan_2020,1.181,1.83
AICDA_HUMAN_Gajula_2014_3cycles,1.08,2.594
AMFR_HUMAN_Rocklin_2023_4G3O,0.453,0.564
ANCSZ_Hobbs_2022,0.027,0.52
ARGR_ECOLI_Rocklin_2023_1AOY,0.411,0.389
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,777141549531136.0,1.235
BBC1_YEAST_Rocklin_2023_1TG0,0.723,0.569
BCHB_CHLTE_Rocklin_2023_2KRU,0.725,0.689
BLAT_ECOLX_Deng_2012,1.375,0.788
BLAT_ECOLX_Firnberg_2014,0.082,0.595
BLAT_ECOLX_Jacquier_2013,2.431,0.565
BRCA1_HUMAN_Findlay_2018,0.597,0.742
CALM1_HUMAN_Weile_2017,0.119,1.176
CAR11_HUMAN_Meitlis_2020_gof,0.34,0.913
CAR11_HUMAN_Meitlis_2020_lof,0.307,0.687
CASP3_HUMAN_Roychowdhury_2020,0.353,1.258
CASP7_HUMAN_Roychowdhury_2020,0.547,0.75
CATR_CHLRE_Rocklin_2023_2AMI,0.359,0.287
CBPA2_HUMAN_Rocklin_2023_1O6X,0.525,0.415
CBX4_HUMAN_Rocklin_2023_2K28,0.527,0.565
CCDB_ECOLI_Adkar_2012,428.614,0.724
CCDB_ECOLI_Tripathi_2016,2.532,0.832
CD19_HUMAN_Klesmith_2019_FMC_singles,7.394,0.794
CSN4_MOUSE_Rocklin_2023_1UFM,0.471,0.398
CUE1_YEAST_Rocklin_2023_2MYX,0.545,0.573
DLG4_RAT_McLaughlin_2012,0.11,0.594
DN7A_SACS2_Rocklin_2023_1JIC,0.597,0.539
DNJA1_HUMAN_Rocklin_2023_2LO1,0.583,0.286
DOCK1_MOUSE_Rocklin_2023_2M0Y,0.504,0.611
DYR_ECOLI_Nguyen_2023,0.063,0.692
DYR_ECOLI_Thompson_2019,0.581,0.866
ENV_HV1B9_DuenasDecamp_2016,0.107,0.861
ENVZ_ECOLI_Ghose_2023,1.253,1.045
EPHB2_HUMAN_Rocklin_2023_1F0M,0.569,0.4
ERBB2_HUMAN_Elazar_2016,1.896,0.549
ESTA_BACSU_Nutschel_2020,4.284,0.98
FECA_ECOLI_Rocklin_2023_2D1U,0.371,0.676
FKBP3_HUMAN_Rocklin_2023_2KFV,0.324,0.521
GAL4_YEAST_Kitzman_2015,21.936,0.795
GCN4_YEAST_Staller_2018,0.173,2.511
GDIA_HUMAN_Silverstein_2021,0.061,0.78
GLPA_HUMAN_Elazar_2016,1.125,0.663
HCP_LAMBD_Rocklin_2023_2L6Q,0.472,0.344
HECD1_HUMAN_Rocklin_2023_3DKM,0.543,0.449
HEM3_HUMAN_Loggerenberg_2023,0.17,0.781
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,0.0,0.766
HSP82_YEAST_Mishra_2016,0.099,0.558
IF1_ECOLI_Kelsic_2016,0.07,0.586
ILF3_HUMAN_Rocklin_2023_2L33,0.464,0.393
ISDH_STAAW_Rocklin_2023_2LHR,0.312,0.799
KCNE1_HUMAN_Muhammad_2023_expression,0.128,0.537
