DMS_id,kermutBH_oh,Tranception Embeddings
BLAT_ECOLX_Stiffler_2015,0.728,0.581
P53_HUMAN_Kotler_2018,1.0,0.732
RAD_ANTMA_Rocklin_2023_2CJJ,0.459,1.012
OPSD_HUMAN_Wan_2019,1.644,0.684
A0A1I9GEU1_NEIME_Kennouche_2019,2.011,1.389
A0A247D711_LISMN_Stadelmann_2021,1.112,1.023
A0A2Z5U3Z0_9INFA_Wu_2014,0.812,0.966
A4GRB6_PSEAI_Chen_2020,2.33,0.528
AACC1_PSEAI_Dandage_2018,3.063,0.915
ACE2_HUMAN_Chan_2020,1.436,1.111
AICDA_HUMAN_Gajula_2014_3cycles,0.773,3.032
AMFR_HUMAN_Rocklin_2023_4G3O,0.516,0.653
ANCSZ_Hobbs_2022,0.034,0.609
ARGR_ECOLI_Rocklin_2023_1AOY,0.527,0.48
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,1628865139048448.0,1.859
BBC1_YEAST_Rocklin_2023_1TG0,0.901,0.707
BCHB_CHLTE_Rocklin_2023_2KRU,0.84,0.837
BLAT_ECOLX_Deng_2012,1.481,0.864
BLAT_ECOLX_Firnberg_2014,0.084,0.646
BLAT_ECOLX_Jacquier_2013,3.019,0.536
BRCA1_HUMAN_Findlay_2018,0.821,0.747
CALM1_HUMAN_Weile_2017,0.107,1.152
CAR11_HUMAN_Meitlis_2020_gof,0.437,0.994
CAR11_HUMAN_Meitlis_2020_lof,0.403,0.767
CASP3_HUMAN_Roychowdhury_2020,0.366,1.331
CASP7_HUMAN_Roychowdhury_2020,0.575,0.784
CATR_CHLRE_Rocklin_2023_2AMI,0.463,0.329
CBPA2_HUMAN_Rocklin_2023_1O6X,0.83,0.515
CBX4_HUMAN_Rocklin_2023_2K28,0.71,0.692
CCDB_ECOLI_Adkar_2012,436.432,0.803
CCDB_ECOLI_Tripathi_2016,2.611,0.819
CD19_HUMAN_Klesmith_2019_FMC_singles,8.129,0.816
CSN4_MOUSE_Rocklin_2023_1UFM,0.396,0.505
CUE1_YEAST_Rocklin_2023_2MYX,0.808,0.708
DLG4_RAT_McLaughlin_2012,0.087,0.68
DN7A_SACS2_Rocklin_2023_1JIC,0.811,0.68
DNJA1_HUMAN_Rocklin_2023_2LO1,0.65,0.344
DOCK1_MOUSE_Rocklin_2023_2M0Y,0.493,0.809
DYR_ECOLI_Nguyen_2023,0.097,0.833
DYR_ECOLI_Thompson_2019,0.628,0.981
ENV_HV1B9_DuenasDecamp_2016,0.081,0.983
ENVZ_ECOLI_Ghose_2023,1.482,1.203
EPHB2_HUMAN_Rocklin_2023_1F0M,0.704,0.509
ERBB2_HUMAN_Elazar_2016,2.36,0.6
ESTA_BACSU_Nutschel_2020,3.972,0.998
FECA_ECOLI_Rocklin_2023_2D1U,0.367,0.891
FKBP3_HUMAN_Rocklin_2023_2KFV,0.301,0.642
GAL4_YEAST_Kitzman_2015,26.254,0.865
GCN4_YEAST_Staller_2018,0.211,2.384
GDIA_HUMAN_Silverstein_2021,0.063,0.809
GLPA_HUMAN_Elazar_2016,1.273,0.718
HCP_LAMBD_Rocklin_2023_2L6Q,0.535,0.431
HECD1_HUMAN_Rocklin_2023_3DKM,0.66,0.565
HEM3_HUMAN_Loggerenberg_2023,0.167,0.797
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,0.0,0.912
HSP82_YEAST_Mishra_2016,0.095,0.56
IF1_ECOLI_Kelsic_2016,0.094,0.645
ILF3_HUMAN_Rocklin_2023_2L33,0.332,0.446
ISDH_STAAW_Rocklin_2023_2LHR,0.399,0.976
KCNE1_HUMAN_Muhammad_2023_expression,0.15,0.642
KCNE1_HUMAN_Muhammad_2023_function,0.085,0.49
KCNH2_HUMAN_Kozek_2020,1264.796,1.279
KKA2_KLEPN_Melnikov_2014,0.746,0.688
LYAM1_HUMAN_Elazar_2016,2.626,0.85
MAFG_MOUSE_Rocklin_2023_1K1V,0.305,0.589
MBD11_ARATH_Rocklin_2023_6ACV,0.687,0.664
MET_HUMAN_Estevam_2023,7.482,0.618
MLAC_ECOLI_MacRae_2023,0.103,0.723
MTH3_HAEAE_RockahShmuel_2015,0.088,0.666
MYO3_YEAST_Rocklin_2023_2BTT,0.732,0.973
NKX31_HUMAN_Rocklin_2023_2L9R,0.102,0.424
NPC1_HUMAN_Erwood_2022_HEK293T,0.12,0.616
NPC1_HUMAN_Erwood_2022_RPE1,0.074,0.635
NRAM_I33A0_Jiang_2016,0.164,0.487
NUD15_HUMAN_Suiter_2020,0.109,0.624
NUSA_ECOLI_Rocklin_2023_1WCL,0.48,0.385
NUSG_MYCTU_Rocklin_2023_2MI6,0.593,0.398
OBSCN_HUMAN_Rocklin_2023_1V1C,0.673,0.592
ODP2_GEOSE_Rocklin_2023_1W4G,0.261,1.012
OTC_HUMAN_Lo_2023,0.077,0.724
OTU7A_HUMAN_Rocklin_2023_2L2D,0.722,0.965
P84126_THETH_Chan_2017,0.288,0.753
PA_I34A1_Wu_2015,0.178,0.826
PAI1_HUMAN_Huttinger_2021,1.08,0.789
PIN1_HUMAN_Rocklin_2023_1I6C,0.428,0.633
PITX2_HUMAN_Rocklin_2023_2L7M,0.479,0.686
PKN1_HUMAN_Rocklin_2023_1URF,0.203,0.47
POLG_PESV_Rocklin_2023_2MXD,0.754,0.633
PR40A_HUMAN_Rocklin_2023_1UZC,0.262,0.652
PSAE_SYNP2_Rocklin_2023_1PSE,0.209,0.748
PTEN_HUMAN_Matreyek_2021,0.084,0.699
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,1.036,0.656
Q53Z42_HUMAN_McShan_2019_expression,2.635,0.759
Q59976_STRSQ_Romero_2015,0.476,0.633
Q837P4_ENTFA_Meier_2023,1.464,0.593
Q837P5_ENTFA_Meier_2023,1.362,0.719
R1AB_SARS2_Flynn_2022,0.131,0.68
RAF1_HUMAN_Zinkus-Boltz_2019,0.035,1.251
RASH_HUMAN_Bandaru_2017,0.085,0.646
RBP1_HUMAN_Rocklin_2023_2KWH,0.227,0.477
RCD1_ARATH_Rocklin_2023_5OAO,0.447,0.694
RCRO_LAMBD_Rocklin_2023_1ORC,1.691,0.645
RD23A_HUMAN_Rocklin_2023_1IFY,0.805,0.483
REV_HV1H2_Fernandes_2016,0.049,0.955
RFAH_ECOLI_Rocklin_2023_2LCL,0.461,0.793
RL20_AQUAE_Rocklin_2023_1GYZ,0.194,0.63
RL40A_YEAST_Mavor_2016,0.032,0.963
RL40A_YEAST_Roscoe_2013,0.078,0.64
RL40A_YEAST_Roscoe_2014,0.142,0.911
RNC_ECOLI_Weeks_2023,0.311,0.54
RPC1_BP434_Rocklin_2023_1R69,0.578,0.476
RPC1_LAMBD_Li_2019_high-expression,5.782,0.788
RPC1_LAMBD_Li_2019_low-expression,2.243,0.945
RS15_GEOSE_Rocklin_2023_1A32,0.168,0.518
SAV1_MOUSE_Rocklin_2023_2YSB,0.493,0.943
SBI_STAAM_Rocklin_2023_2JVG,0.458,0.721
SCIN_STAAR_Rocklin_2023_2QFF,0.646,0.703
SCN5A_HUMAN_Glazer_2019,1648.912,1.549
SDA_BACSU_Rocklin_2023_1PV0,0.59,0.497
SERC_HUMAN_Xie_2023,0.064,0.544
SOX30_HUMAN_Rocklin_2023_7JJK,0.82,0.788
SPA_STAAU_Rocklin_2023_1LP1,0.216,0.595
SPG2_STRSG_Rocklin_2023_5UBS,0.778,0.738
SPIKE_SARS2_Starr_2020_binding,1.721,0.89
SPIKE_SARS2_Starr_2020_expression,0.804,0.717
SPTN1_CHICK_Rocklin_2023_1TUD,1.219,0.652
SQSTM_MOUSE_Rocklin_2023_2RRU,0.216,0.469
SR43C_ARATH_Rocklin_2023_2N88,0.62,0.562
SRBS1_HUMAN_Rocklin_2023_2O2W,0.894,0.702
SRC_HUMAN_Ahler_2019,1.072,0.812
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,0.545,0.933
SRC_HUMAN_Nguyen_2022,0.339,0.911
SUMO1_HUMAN_Weile_2017,0.113,0.954
SYUA_HUMAN_Newberry_2020,0.018,0.339
TADBP_HUMAN_Bolognesi_2019,0.008,0.395
TAT_HV1BR_Fernandes_2016,0.041,0.959
TCRG1_MOUSE_Rocklin_2023_1E0L,0.542,0.398
THO1_YEAST_Rocklin_2023_2WQG,0.639,0.789
TNKS2_HUMAN_Rocklin_2023_5JRT,0.405,0.504
TPK1_HUMAN_Weile_2017,0.264,1.107
TPMT_HUMAN_Matreyek_2018,0.104,0.709
TPOR_HUMAN_Bridgford_2020,0.084,0.844
TRPC_SACS2_Chan_2017,0.318,0.759
TRPC_THEMA_Chan_2017,0.345,0.895
UBC9_HUMAN_Weile_2017,0.217,0.897
UBE4B_HUMAN_Rocklin_2023_3L1X,0.714,0.874
UBE4B_MOUSE_Starita_2013,1.306,0.854
UBR5_HUMAN_Rocklin_2023_1I2T,0.296,0.417
VG08_BPP22_Rocklin_2023_2GP8,0.183,0.564
VILI_CHICK_Rocklin_2023_1YU5,0.308,0.809
VKOR1_HUMAN_Chiasson_2020_abundance,0.086,0.633
VKOR1_HUMAN_Chiasson_2020_activity,0.198,1.065
VRPI_BPT7_Rocklin_2023_2WNM,0.323,0.702
YAIA_ECOLI_Rocklin_2023_2KVT,1.252,0.856
YNZC_BACSU_Rocklin_2023_2JVD,0.637,0.958
