DMS_id,Kermut,Kermut (const. mean),Kermut (no m),"Kermut (no m, const. mean)",Kermut (no distance),Kermut (no p),Kermut (no global),Kermut (no Hellinger),Kermut (no Hellinger/p),Kermut (ProteinMPNN),Kermut (TranceptEVE),Kermut (ESM-IF1),Kermut (EVE),Kermut (GEMME),Kermut (VESPA),ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
A0A1I9GEU1_NEIME_Kennouche_2019,0.068,0.09,0.113,0.11,0.095,0.084,-0.048,0.055,0.083,0.088,0.072,0.083,0.024,0.056,0.059,0.054,0.06,0.089,0.055,0.093,0.043,0.062,-0.027,0.077,0.074
A0A247D711_LISMN_Stadelmann_2021,0.546,0.549,0.371,0.366,0.554,0.487,0.559,0.52,0.378,0.556,0.55,0.571,0.565,0.583,0.551,0.264,0.539,0.056,0.114,0.314,0.327,0.277,-0.004,0.474,0.344
A0A2Z5U3Z0_9INFA_Wu_2014,0.451,0.397,0.47,0.351,0.437,0.455,0.433,0.45,0.46,0.398,0.466,0.407,0.484,0.498,0.429,0.465,0.296,0.485,0.463,0.502,0.55,0.567,0.113,0.349,0.533
A4_HUMAN_Seuma_2022,0.659,0.657,0.61,0.62,0.654,0.654,0.53,0.659,0.655,0.657,0.657,0.657,0.654,0.658,0.656,0.589,0.401,0.457,0.287,0.338,0.446,0.488,0.072,0.547,0.598
A4GRB6_PSEAI_Chen_2020,0.825,0.795,0.738,0.551,0.819,0.804,0.841,0.804,0.766,0.796,0.809,0.802,0.802,0.809,0.814,0.698,0.75,0.676,0.658,0.677,0.668,0.687,0.216,0.752,0.675
AACC1_PSEAI_Dandage_2018,0.538,0.485,0.499,0.403,0.528,0.534,0.54,0.531,0.519,0.485,0.526,0.499,0.522,0.544,0.548,0.512,0.544,0.429,0.492,0.5,0.471,0.5,-0.051,0.49,0.425
ACE2_HUMAN_Chan_2020,0.435,0.447,0.373,0.358,0.223,0.447,0.401,0.459,0.455,0.447,0.437,0.449,0.475,0.456,0.422,0.255,0.268,0.199,0.177,0.211,0.191,0.197,0.039,0.385,0.262
AICDA_HUMAN_Gajula_2014_3cycles,0.265,0.232,0.32,0.232,0.33,0.309,0.303,0.258,0.341,0.372,0.234,0.4,0.248,-0.015,0.424,0.203,0.144,0.381,0.222,0.267,0.293,0.379,-0.246,0.179,0.13
AMFR_HUMAN_Tsuboyama_2023_4G3O,0.844,0.84,0.787,0.762,0.852,0.806,0.683,0.819,0.786,0.841,0.84,0.861,0.84,0.84,0.84,0.528,0.735,0.445,0.163,0.428,0.38,0.454,0.099,0.763,0.563
ANCSZ_Hobbs_2022,0.666,0.604,0.624,0.436,0.601,0.657,0.646,0.667,0.656,0.605,0.616,0.613,0.633,0.631,0.642,0.564,0.532,0.466,0.52,0.48,0.535,0.541,0.026,0.569,0.597
ARGR_ECOLI_Tsuboyama_2023_1AOY,0.794,0.8,0.688,0.672,0.777,0.712,0.765,0.794,0.69,0.798,0.793,0.804,0.801,0.796,0.781,0.525,0.62,0.426,0.273,0.41,0.442,0.475,-0.008,0.706,0.606
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,0.195,0.255,0.029,0.017,0.165,0.342,0.304,0.199,0.35,0.256,0.36,0.257,0.452,0.442,0.366,0.01,0.311,0.664,-0.087,0.197,0.336,0.347,0.211,0.182,0.328
BBC1_YEAST_Tsuboyama_2023_1TG0,0.805,0.795,0.762,0.711,0.807,0.774,0.699,0.81,0.759,0.793,0.795,0.838,0.798,0.798,0.791,0.621,0.649,0.402,0.434,0.346,0.384,0.397,0.071,0.673,0.585
BCHB_CHLTE_Tsuboyama_2023_2KRU,0.71,0.724,0.562,0.535,0.691,0.655,0.701,0.685,0.635,0.725,0.701,0.701,0.704,0.733,0.723,0.472,0.612,0.257,0.323,0.417,0.345,0.286,-0.138,0.632,0.437
BLAT_ECOLX_Deng_2012,0.5,0.466,0.464,0.373,0.523,0.501,0.49,0.488,0.508,0.467,0.509,0.481,0.498,0.487,0.497,0.477,0.543,0.516,0.484,0.508,0.467,0.519,-0.147,0.526,0.425
BLAT_ECOLX_Firnberg_2014,0.821,0.786,0.774,0.678,0.815,0.813,0.826,0.82,0.801,0.786,0.819,0.803,0.821,0.81,0.818,0.721,0.779,0.74,0.641,0.69,0.632,0.731,-0.001,0.784,0.636
BLAT_ECOLX_Jacquier_2013,0.74,0.697,0.714,0.65,0.723,0.727,0.741,0.748,0.734,0.696,0.731,0.709,0.738,0.698,0.727,0.688,0.701,0.712,0.618,0.646,0.631,0.727,-0.025,0.701,0.613
BLAT_ECOLX_Stiffler_2015,0.804,0.755,0.759,0.635,0.801,0.79,0.821,0.791,0.775,0.755,0.792,0.773,0.799,0.792,0.807,0.744,0.778,0.735,0.653,0.68,0.623,0.724,-0.014,0.778,0.651
BRCA1_HUMAN_Findlay_2018,0.583,0.522,0.521,0.064,0.55,0.568,0.582,0.578,0.536,0.521,0.531,0.522,0.555,0.553,0.59,0.4,0.508,0.438,0.402,0.507,0.517,0.536,0.131,0.503,0.456
CALM1_HUMAN_Weile_2017,0.19,0.147,0.199,0.141,0.195,0.199,0.181,0.188,0.198,0.148,0.234,0.163,0.229,0.23,0.206,0.244,0.261,0.224,0.225,0.24,0.263,0.239,0.009,0.27,0.22
CAPSD_AAV2S_Sinai_2021,0.665,0.671,0.542,0.546,0.544,0.654,0.484,0.661,0.661,0.67,0.689,0.672,0.74,0.73,0.698,0.579,0.642,0.565,0.17,0.574,0.54,0.563,0.181,0.686,0.681
CAR11_HUMAN_Meitlis_2020_gof,0.547,0.543,0.379,0.368,0.355,0.561,0.55,0.546,0.558,0.543,0.546,0.543,0.548,0.543,0.552,0.389,0.197,0.162,0.323,0.201,0.186,0.187,0.003,0.441,0.37
CAR11_HUMAN_Meitlis_2020_lof,0.706,0.688,0.617,0.603,0.629,0.702,0.693,0.705,0.697,0.687,0.691,0.687,0.694,0.694,0.697,0.583,0.347,0.249,0.486,0.248,0.258,0.272,-0.141,0.517,0.481
CASP3_HUMAN_Roychowdhury_2020,0.69,0.641,0.64,0.562,0.627,0.679,0.697,0.69,0.679,0.641,0.669,0.649,0.688,0.689,0.668,0.607,0.69,0.62,0.588,0.647,0.584,0.628,-0.011,0.655,0.566
CASP7_HUMAN_Roychowdhury_2020,0.658,0.628,0.634,0.571,0.642,0.645,0.657,0.658,0.639,0.63,0.652,0.636,0.663,0.661,0.642,0.613,0.651,0.616,0.606,0.636,0.584,0.627,0.046,0.546,0.568
CATR_CHLRE_Tsuboyama_2023_2AMI,0.787,0.786,0.783,0.746,0.79,0.777,0.524,0.772,0.765,0.785,0.78,0.749,0.781,0.789,0.779,0.713,0.71,0.343,0.297,0.221,0.391,0.389,0.025,0.788,0.729
CBPA2_HUMAN_Tsuboyama_2023_1O6X,0.805,0.825,0.776,0.796,0.809,0.777,0.627,0.794,0.76,0.827,0.823,0.838,0.819,0.817,0.806,0.666,0.679,0.426,0.403,0.439,0.477,0.475,0.196,0.715,0.605
CBX4_HUMAN_Tsuboyama_2023_2K28,0.802,0.8,0.774,0.755,0.812,0.784,0.694,0.79,0.784,0.813,0.808,0.805,0.811,0.812,0.81,0.582,0.75,0.533,0.493,0.609,0.537,0.597,0.105,0.755,0.575
CCDB_ECOLI_Adkar_2012,0.457,0.457,0.53,0.496,0.154,0.429,0.495,0.48,0.501,0.463,0.466,0.462,0.439,0.458,0.471,0.399,0.537,0.559,0.347,0.431,0.485,0.541,0.125,0.496,0.443
