Model_rank,Model_name,Model type,Average_Spearman,Bootstrap_standard_error_Spearman,Average_Spearman_fold_random_5,Average_Spearman_fold_modulo_5,Average_Spearman_fold_contiguous_5,Function_Activity,Function_Binding,Function_Expression,Function_OrganismalFitness,Function_Stability,Low_MSA_depth,Medium_MSA_depth,High_MSA_depth,Taxa_Human,Taxa_Other_Eukaryote,Taxa_Prokaryote,Taxa_Virus,References,Model details
1,Kermut (EVE),,0.662,0.006,0.75,0.627,0.608,0.604,0.643,0.661,0.58,0.821,0.731,0.625,0.688,0.72,0.679,0.696,0.7,,
2,Kermut,Embedding,0.659,0.0,0.743,0.628,0.605,0.602,0.625,0.665,0.578,0.824,0.745,0.606,0.681,0.722,0.68,0.709,0.645,"<a href='https://www.biorxiv.org/content/10.1101/2024.05.28.596219v1'>Groth, P. M., Kerrn, M. H., Olsen, L., Salomon, J., Boomsma, W. (2024).  Kermut: Composite kernel regression for protein variant effects</a>",Kermut GP
3,Kermut (VESPA),,0.657,0.005,0.742,0.623,0.606,0.601,0.62,0.66,0.585,0.82,0.737,0.61,0.686,0.714,0.678,0.705,0.678,,
4,Kermut (GEMME),,0.657,0.005,0.744,0.622,0.605,0.598,0.623,0.663,0.579,0.822,0.733,0.619,0.682,0.716,0.675,0.697,0.695,,
5,Kermut (TranceptEVE),,0.654,0.004,0.744,0.619,0.6,0.596,0.619,0.662,0.573,0.821,0.739,0.605,0.678,0.712,0.672,0.703,0.668,,
6,Kermut (no Hellinger),,0.653,0.002,0.743,0.619,0.599,0.59,0.619,0.664,0.574,0.82,0.742,0.593,0.676,0.71,0.678,0.705,0.631,,
7,Kermut (no p),,0.643,0.004,0.738,0.609,0.583,0.59,0.611,0.651,0.564,0.801,0.728,0.591,0.66,0.701,0.669,0.689,0.611,,
8,Kermut (ESM-IF1),,0.642,0.007,0.738,0.606,0.583,0.588,0.585,0.654,0.551,0.832,0.737,0.581,0.676,0.709,0.666,0.7,0.658,,
9,Kermut (ProteinMPNN),,0.636,0.006,0.734,0.599,0.575,0.582,0.583,0.651,0.54,0.823,0.728,0.578,0.666,0.699,0.66,0.689,0.649,,
10,Kermut (const. mean),,0.633,0.007,0.735,0.596,0.569,0.579,0.58,0.651,0.536,0.821,0.723,0.577,0.664,0.697,0.658,0.683,0.648,,
11,Kermut (no Hellinger/p),,0.633,0.006,0.737,0.591,0.57,0.569,0.601,0.648,0.557,0.79,0.72,0.566,0.649,0.679,0.663,0.68,0.59,,
12,Kermut (no distance),,0.624,0.004,0.739,0.577,0.556,0.562,0.56,0.634,0.546,0.818,0.734,0.562,0.654,0.703,0.658,0.686,0.602,,
13,Kermut (no global),,0.614,0.006,0.695,0.582,0.565,0.578,0.616,0.611,0.547,0.716,0.672,0.571,0.621,0.662,0.616,0.641,0.606,,
